true\pred,0,1,2,3,4,5,6,7,8,9,A,B,C/c,D,E,F,G,H,I/i,J/j,K/k,L/l,M/m,N,O/o,P/p,Q,R,S/s,T,U/u,V/v,W/w,X/x,Y/y,Z/z,a,b,d,e,f,g,h,n,q,r,t
0,285,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,97,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,325,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,2,0,0,3,0,0,2,0,0
3,0,0,0,393,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,0,371,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,12,0,1,0,1,0,1,0,1,1,2,0,2
5,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,29,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
6,0,0,0,0,0,1,375,0,0,0,0,0,1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0
7,0,0,1,1,0,0,0,390,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,377,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,8,0,0
9,0,0,0,0,2,0,0,2,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,1,37,0,0
A,0,0,0,0,2,0,0,0,0,0,382,0,0,0,0,0,2,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0
B,0,0,0,0,0,0,0,0,6,0,1,376,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0
C/c,0,0,0,0,0,0,3,0,0,0,0,0,379,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,0,0,0,0,0,1,0
D,13,0,0,1,0,0,0,0,0,0,0,1,0,371,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
E,0,0,0,0,0,2,0,0,0,0,0,0,0,0,393,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
F,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,228,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,162,0,0,0,0,2,1
G,0,0,0,0,0,0,10,0,0,2,0,2,3,0,1,1,376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
H,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,384,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0
I/i,0,54,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,275,4,0,57,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1
